# t (s)	mx ()	my ()	mz ()
4.8300217577795646e-09	0.9972522	4.963341e-05	1.31252555e-05
4.840023657513308e-09	0.9972522	2.3051554e-05	1.9353867e-05
4.850025505654249e-09	0.9972521	-8.584892e-06	1.9501062e-05
4.860027469731004e-09	0.9972521	-3.795192e-05	1.6436099e-05
4.870000723734611e-09	0.99725217	-5.8000995e-05	7.955626e-06
4.880002633433496e-09	0.9972521	-6.383883e-05	-1.2182512e-06
4.8900044797565975e-09	0.9972521	-5.3492633e-05	-1.1715927e-05
4.90000645659432e-09	0.9972522	-2.915065e-05	-1.7983959e-05
4.910008356085893e-09	0.99725217	3.2335975e-06	-2.1041693e-05
4.920010246610814e-09	0.9972521	3.507476e-05	-1.7057964e-05
4.930012150078141e-09	0.9972522	5.7651734e-05	-9.775629e-06
4.940014128220623e-09	0.9972521	6.453562e-05	1.6179581e-06
4.9500160108120875e-09	0.9972522	5.382926e-05	1.1106952e-05
4.960017874954873e-09	0.99725217	2.8658167e-05	1.8763229e-05
4.9700198392319064e-09	0.9972522	-3.6236402e-06	1.971737e-05
4.980021757995941e-09	0.9972521	-3.3939734e-05	1.6653814e-05
4.990023659787075e-09	0.9972522	-5.408635e-05	7.918653e-06
5.000025490785155e-09	0.9972521	-5.9255624e-05	-1.1157721e-06
5.010027499680139e-09	0.9972521	-4.8927406e-05	-1.0715073e-05
5.020000733489619e-09	0.9972522	-2.6825363e-05	-1.5722379e-05
5.030002628469538e-09	0.99725217	9.663801e-07	-1.7933808e-05
5.040004516423966e-09	0.9972522	2.72826e-05	-1.4350859e-05
5.05000651396403e-09	0.9972522	4.6017445e-05	-8.853628e-06
5.0600084063455255e-09	0.9972522	5.310587e-05	-1.0121266e-07
5.070010258324909e-09	0.9972522	4.7310077e-05	7.1245104e-06
5.080012206290468e-09	0.9972522	3.0130277e-05	1.3952564e-05
5.090014153402534e-09	0.99725217	5.6504937e-06	1.6064723e-05
5.100016049830062e-09	0.9972522	-2.0379337e-05	1.5624064e-05
5.110017884285769e-09	0.9972521	-4.1512994e-05	9.875369e-06
5.120019872871341e-09	0.9972522	-5.2277734e-05	2.8266743e-06
5.1300217743242565e-09	0.9972521	-4.9491027e-05	-6.4836913e-06
5.1400236790418275e-09	0.9972521	-3.3564644e-05	-1.2876019e-05
5.150025550216968e-09	0.9972521	-8.5011925e-06	-1.720598e-05
5.1600275442011984e-09	0.9972522	1.8866125e-05	-1.550661e-05
5.170000770271092e-09	0.9972522	4.093217e-05	-1.0895359e-05
5.180002643313022e-09	0.9972522	5.165049e-05	-2.0101033e-06
5.190004576985777e-09	0.9972522	4.819903e-05	5.9203226e-06
5.200006533902972e-09	0.9972522	3.188332e-05	1.3302878e-05
5.210008446143157e-09	0.99725217	7.678049e-06	1.5529664e-05
5.2200102417530785e-09	0.9972522	-1.7580944e-05	1.4841625e-05
5.230012247507074e-09	0.9972521	-3.7146532e-05	9.049421e-06
5.240014155808992e-09	0.9972522	-4.6358735e-05	2.5524448e-06
5.2500160717778085e-09	0.9972521	-4.3503846e-05	-5.50905e-06
5.2600179098251326e-09	0.9972521	-3.0067187e-05	-1.0521054e-05
5.270019920788385e-09	0.99725217	-9.818925e-06	-1.40603715e-05
5.2800217949288546e-09	0.99725217	1.21139165e-05	-1.2834651e-05
5.2900236978514495e-09	0.99725217	3.061119e-05	-9.9057415e-06
5.3000256039251145e-09	0.9972522	4.141119e-05	-3.3695492e-06
5.310027585381452e-09	0.9972521	4.2083928e-05	2.6455248e-06
5.3200007867494385e-09	0.9972522	3.2391566e-05	9.353418e-06
5.330002653881968e-09	0.99725217	1.4510922e-05	1.2537028e-05
5.340004602010555e-09	0.99725217	-7.2926414e-06	1.3896455e-05
5.3500065449883695e-09	0.9972522	-2.7457592e-05	1.0355253e-05
5.360008463215903e-09	0.9972521	-4.0632767e-05	5.2980745e-06
5.3700102873903324e-09	0.9972521	-4.3055727e-05	-2.5570446e-06
5.380012283916072e-09	0.9972521	-3.3918688e-05	-8.491971e-06
5.390014195681536e-09	0.99725217	-1.561276e-05	-1.3378061e-05
5.400016074462361e-09	0.99725217	6.712882e-06	-1.3277239e-05
5.41001796027667e-09	0.9972522	2.6849448e-05	-1.0803739e-05
5.420019951943524e-09	0.9972522	3.9242845e-05	-4.202756e-06
5.4300218177004764e-09	0.9972522	4.0800245e-05	2.052381e-06
5.440023697582776e-09	0.9972522	3.15176e-05	8.738998e-06
5.4500256395468e-09	0.99725217	1.4447716e-05	1.1583718e-05
5.460027609119652e-09	0.99725217	-5.5770156e-06	1.2540627e-05
5.47000084610815e-09	0.9972521	-2.3208237e-05	9.071622e-06
5.480002678337965e-09	0.9972521	-3.4355333e-05	4.772745e-06
5.490004662290781e-09	0.9972521	-3.6601134e-05	-1.7103254e-06
5.500006581434879e-09	0.9972521	-2.989951e-05	-6.281561e-06
5.510008472524337e-09	0.9972522	-1.6145901e-05	-1.046161e-05
5.520010317978331e-09	0.99725217	1.2242024e-06	-1.0828945e-05
5.530012332333758e-09	0.9972522	1.8139526e-05	-9.857133e-06
5.540014224927245e-09	0.99725217	3.0541887e-05	-5.235142e-06
5.550016116810475e-09	0.9972522	3.5406327e-05	-5.2466413e-07
